csa_name_mod2_x,company_id,company_name_x,shift_lead_time_fs,head_count_requested_fs,head_count_worked_fs,fill_rate_fs,total_shifts_f30d,total_head_count_minus_fs,total_head_count_minus_f30d,year_quarter_comp_start_x,head_count_worked_f30d,head_count_requested_f30d,fill_rate_f30d,shifts_worked_f30d,avg_days_between_shifts_f30d,csa_name_mod2_y,company_name_y,shifts_worked,adjusted_head_count,fill_rate,industry_name,avg_head_count,avg_hourly_wage,avg_shift_lead,2023_rev,avg_days_between_shifts,total_head_count,year_quarter_comp_start_y
All Other Markets Combined,1458,Slogaway LLC,3,2,1,0.5,1,0,0,2022Q3,1,2,0.5,1,,All Other Markets Combined,Slogaway LLC,,,,,,,,,,,2022Q3
"Dallas-Fort Worth, TX-OK",1505,Pronto Delivery,5,1,1,1.0,18,27,10,2022Q4,18,18,1.0,18,1.7059,"Dallas-Fort Worth, TX-OK",Pronto Delivery,,,,,,,,,,,2022Q4
"Las Vegas-Henderson, NV",1992,Trailhound Smoker's BBQ,14,8,10,1.25,1,4,-68,2022Q3,10,80,0.125,1,,"Las Vegas-Henderson, NV",Trailhound Smoker's BBQ,,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",2050,Magic Man Junk Removal,4,2,2,1.0,1,3,1,2023Q2,2,4,0.5,1,,"Salt Lake City-Provo-Orem, UT",Magic Man Junk Removal,5.0,5.0,1.0,Delivery,1.6667,20.0,1.0,154.3,79.5,5.0,2023Q2
All Other Markets Combined,2440,Sloppy Crab,3,1,1,1.0,10,46,7,2023Q2,14,40,0.35,10,1.8889,All Other Markets Combined,Sloppy Crab,34.0,37.0,0.9189,Food Services,1.5161,14.870967741935484,6.6512,1329.57,3.3478,47.0,2023Q2
All Other Markets Combined,2721,Willie Fun Events,1,2,2,1.0,1,0,-2,2022Q3,2,4,0.5,1,,All Other Markets Combined,Willie Fun Events,,,,,,,,,,,2022Q3
"Dallas-Fort Worth, TX-OK",2957,Evo Logistics,15,1,1,1.0,2,3,2,2023Q1,2,2,1.0,2,1.0,"Dallas-Fort Worth, TX-OK",Evo Logistics,2.0,2.0,1.0,Warehouse,1.3333,16.666666666666668,10.3333,48.87,1.0,4.0,2023Q1
"Dallas-Fort Worth, TX-OK",3007,e3 events,7,6,6,1.0,2,3,-36,2022Q3,9,45,0.2,2,2.0,"Dallas-Fort Worth, TX-OK",e3 events,,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",3015,Lionheart Enterprises,2,4,5,1.25,17,125,-568,2023Q1,94,697,0.1349,17,1.1875,"Salt Lake City-Provo-Orem, UT",Lionheart Enterprises,131.0,135.0,0.9704,Manufacturing,4.6071,14.0,2.4571,4881.76,1.7037,129.0,2023Q1
"Dallas-Fort Worth, TX-OK",3157,Paul Davis Restoration of North Dallas,1,4,5,1.25,30,108,-140,2023Q1,79,252,0.3135,30,0.8276,"Dallas-Fort Worth, TX-OK",Paul Davis Restoration of North Dallas,105.0,122.0,0.8607,Construction,2.6667,17.833333333333332,0.9111,4764.44,0.9024,112.0,2023Q1
"Dallas-Fort Worth, TX-OK",3184,Savory Catering,2,2,2,1.0,1,5,3,2022Q3,2,4,0.5,1,,"Dallas-Fort Worth, TX-OK",Savory Catering,,,,,,,,,,,2022Q3
"Dallas-Fort Worth, TX-OK",3286,Renewance Inc.,3,3,2,0.6667,26,94,0,2023Q2,47,97,0.4845,26,1.12,"Dallas-Fort Worth, TX-OK",Renewance Inc.,89.0,101.0,0.8812,Technology,1.4923,19.0,5.2989,4333.33,2.1094,97.0,2023Q2
"Las Vegas-Henderson, NV",3416,Nectar Bath Treats,4,2,3,1.5,9,18,-36,2022Q4,25,56,0.4464,9,1.25,"Las Vegas-Henderson, NV",Nectar Bath Treats,,,,Manufacturing,,,2.5,,,,2022Q4
All Other Markets Combined,3436,Target Field,9,7,5,0.7143,1,2,-26,2022Q4,5,35,0.1429,1,,All Other Markets Combined,Target Field,,,,,,,,,,,2022Q4
All Other Markets Combined,3512,Carroll Trucking,2,3,3,1.0,2,6,-9,2022Q4,6,18,0.3333,2,18.0,All Other Markets Combined,Carroll Trucking,,,,,,,,,,,2022Q4
All Other Markets Combined,3642,Figs and Honey Catering,1,1,1,1.0,2,1,0,2022Q3,2,2,1.0,2,1.0,All Other Markets Combined,Figs and Honey Catering,,,,,,,,,,,2022Q3
All Other Markets Combined,3695,Helping Hand Home Buyers,2,3,2,0.6667,1,0,-3,2022Q3,2,6,0.3333,1,,All Other Markets Combined,Helping Hand Home Buyers,,,,,,,,,,,2022Q3
All Other Markets Combined,3893,Junk King Tucson,11,2,3,1.5,2,2,-6,2022Q4,5,10,0.5,2,1.0,All Other Markets Combined,Junk King Tucson,,,,,,,,,,,2022Q4
"Dallas-Fort Worth, TX-OK",3930,The quixotic world magical event space,11,2,2,1.0,2,3,0,2022Q3,3,5,0.6,2,6.0,"Dallas-Fort Worth, TX-OK",The quixotic world magical event space,,,,Events,,,196.0,,,,2022Q3
All Other Markets Combined,3931,Green Vortex Solutions ,7,2,2,1.0,2,7,1,2023Q1,4,8,0.5,2,2.0,All Other Markets Combined,Green Vortex Solutions ,7.0,7.0,1.0,Janitorial,1.2857,25.0,5.875,83.49,20.0,9.0,2023Q1
All Other Markets Combined,4006,Messner Landscape Inc.,8,1,1,1.0,1,0,0,2022Q4,1,1,1.0,1,,All Other Markets Combined,Messner Landscape Inc.,,,,,,,,,,,2022Q4
All Other Markets Combined,4042,BRIE cater,16,2,1,0.5,1,0,0,2022Q4,1,2,0.5,1,,All Other Markets Combined,BRIE cater,,,,,,,,,,,2022Q4
All Other Markets Combined,4114,D. Brian's Kitchen & Catering,4,1,1,1.0,11,12,2,2023Q2,11,11,1.0,11,1.5,All Other Markets Combined,D. Brian's Kitchen & Catering,11.0,11.0,1.0,Food Services,1.0,17.0,56.3448,390.89,1.5,13.0,2023Q2
All Other Markets Combined,4127,Fades of Glory,0,1,1,1.0,12,11,0,2022Q3,12,12,1.0,12,1.5455,All Other Markets Combined,Fades of Glory,,,,,,,,,,,2022Q3
"Dallas-Fort Worth, TX-OK",4207,ProBuilt Tools Inc,5,2,1,0.5,8,12,0,2022Q3,8,14,0.5714,8,1.2857,"Dallas-Fort Worth, TX-OK",ProBuilt Tools Inc,,,,,,,,,,,2022Q3
All Other Markets Combined,4225,Dave & Buster's - Nashville,16,2,1,0.5,89,947,785,2022Q3,118,164,0.7195,89,0.0682,All Other Markets Combined,Dave & Buster's - Nashville,294.0,322.0,0.913,Hospitality,1.4505,17.4009009009009,3.7529,16151.91,1.2293,322.0,2022Q3
All Other Markets Combined,4225,Dave & Buster's - Nashville,16,2,1,0.5,89,947,785,2022Q3,118,164,0.7195,89,0.0682,"Dallas-Fort Worth, TX-OK",Dave & Buster's - Nashville,294.0,322.0,0.913,Hospitality,1.4505,17.4009009009009,3.7529,16151.91,1.2293,322.0,2022Q3
