csa_name_mod2,company_id,company_name,shifts_worked,adjusted_head_count,fill_rate,industry_name,average_head_count,average_hourly_wage,average_shift_lead,total_net_commissionable_revenue_2023,avg_days_between_shifts
"Salt Lake City-Provo-Orem, UT",3,Warehouse Inc.,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",4,Bacon Inc,,,,,,,,,
All Other Markets Combined,4,Bacon Inc,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",9,Bacon Inc,1,1,1.0000,Entertainment,1.4000,17.6,7.1333,48,
All Other Markets Combined,9,Bacon Inc,1,1,1.0000,Entertainment,1.4000,17.6,7.1333,48,
"Dallas-Fort Worth, TX-OK",9,Bacon Inc,1,1,1.0000,Entertainment,1.4000,17.6,7.1333,48,
"Las Vegas-Henderson, NV",9,Bacon Inc,1,1,1.0000,Entertainment,1.4000,17.6,7.1333,48,
"Salt Lake City-Provo-Orem, UT",11,Utah Valley Convention Center,941,1057,0.8903,Food Services,8.9091,15.03305785123967,4.8843,24358.83,2.3276
"Salt Lake City-Provo-Orem, UT",12,Beehive Catering,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",13,Yummy's BBQ and Sushi,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",16,Culinary Crafts,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",19,The Spoon at NuSkin,7,7,1.0000,Food Services,1.1429,17,5.5714,213.45,36.6000
"Dallas-Fort Worth, TX-OK",20,ATI (Automotive Tensioners Inc.),,,,,,,,,
"Dallas-Fort Worth, TX-OK",22,Bacon,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",22,Bacon,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",24,Equinox Nutraceutical,,,,,,,,,
"Dallas-Fort Worth, TX-OK",28,Heads or Tails Crawfish,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",29,Utah Valley Convention Center - Kitchen,207,222,0.9324,Food Services,2.2035,13.035398230088495,2.5841,5431.56,2.9574
"Dallas-Fort Worth, TX-OK",30,Tastefully Yours Catering,,,,,,,,,
"Dallas-Fort Worth, TX-OK",31,One Fine Day,,,,,,,,,
"Dallas-Fort Worth, TX-OK",32,intelliBED,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",33,The Biz Games,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",34,AlphaGraphics Salt Lake,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",35,North Beacon Co.,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",39,FirstMile - UT,1443,1557,0.9268,Warehouse,3.2063,14.405204460966543,11.4963,42621.03,0.5386
"Salt Lake City-Provo-Orem, UT",42,IFS360,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",46,Moss Transit,70,70,1.0000,Hospitality,1.0000,15.272727272727273,2.8701,2623.2,4.2174
"Salt Lake City-Provo-Orem, UT",55,Brown Brothers Catering,43,43,1.0000,Food Services,3.0000,16,2.6364,1947.69,18.0000
"Salt Lake City-Provo-Orem, UT",58,SSA Group @ Hogle Zoo,144,151,0.9536,Events,2.4138,16,4.7586,3260.52,3.0000
"Salt Lake City-Provo-Orem, UT",60,Waffle Love,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",64,SSA @ Great Plains zoo,,,,,,,,,
"Dallas-Fort Worth, TX-OK",66,Coolgreens Southlake,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",70,Ardu Recovery Center,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",79,DRH Holdings,16,18,0.8889,Hospitality,2.0000,17.466666666666665,4.6000,632.42,1.7500
"Salt Lake City-Provo-Orem, UT",80,Globalnick,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",81,Advanced Commercial Electronic Systems,4,4,1.0000,Construction,1.0000,15,5.2727,124.13,2.3333
"Salt Lake City-Provo-Orem, UT",98,Bonneville Asphalt and Repair,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",102,Forever Landscapes,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",105,UHIN,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",116,In The Event,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",120,"Corporate Kids Event, Inc",,,,,,,,,
