csa_name_mod2,company_id,company_name,shifts_worked,adjusted_head_count,fill_rate,industry_name,avg_head_count,avg_hourly_wage,avg_shift_lead,2023_rev,avg_days_between_shifts,total_head_count,year_quarter_comp_start
"Salt Lake City-Provo-Orem, UT",3,ueo hIreansc.W,,,,,,,,,,,2019Q1
"Salt Lake City-Provo-Orem, UT",4,Ionc cnaB,,,,,,,,,,,2018Q4
All Other Markets Combined,4, oInccnaB,,,,,,,,,,,2018Q4
"Salt Lake City-Provo-Orem, UT",9,In cnaocB,1.0,1.0,1.0,Entertainment,1.0,20.0,7.1333,48.0,,2.0,2019Q1
All Other Markets Combined,9,a IcnBcno,1.0,1.0,1.0,Entertainment,1.0,20.0,7.1333,48.0,,2.0,2019Q1
"Dallas-Fort Worth, TX-OK",9,Ic cBaonn,1.0,1.0,1.0,Entertainment,1.0,20.0,7.1333,48.0,,2.0,2019Q1
"Las Vegas-Henderson, NV",9,cconI nBa,1.0,1.0,1.0,Entertainment,1.0,20.0,7.1333,48.0,,2.0,2019Q1
"Salt Lake City-Provo-Orem, UT",11,vaeonCteniVo rhnye lCUattel n,941.0,1057.0,0.8903,Food Services,8.9091,15.03305785123967,4.8843,24358.83,2.3276,1078.0,2018Q4
"Salt Lake City-Provo-Orem, UT",12,grtieheaBCeeivn ,,,,,,,,,,,2019Q4
"Salt Lake City-Provo-Orem, UT",13,us   dyBuamhQ'YnBSsim,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",16,CfryiCrnst aual,,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",19,o ukenoSa nhpNtT iS,7.0,7.0,1.0,Food Services,1.1667,17.0,5.5714,213.45,36.6,7.0,2020Q1
"Dallas-Fort Worth, TX-OK",20,osTcIotI.nseie(v utTnr)Ai  eAnom,,,,,,,,,,,2018Q4
"Dallas-Fort Worth, TX-OK",22,Bocan,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",22,naBco,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",24,ixquuNic acrelEtnaout,,,,,,,,,,,2020Q2
"Dallas-Fort Worth, TX-OK",28,sHahef iCsisrda  lTrwoa,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",29,hlieCnt attnrl oet avoeneCnUcVeihny -K ,207.0,222.0,0.9324,Food Services,2.2604,13.041666666666666,2.5841,5431.56,2.9574,217.0,2019Q3
"Dallas-Fort Worth, TX-OK",30, eita ftYgrTusyloanueClsr,,,,,,,,,,,2019Q1
"Dallas-Fort Worth, TX-OK",31,ODy nn eiFea,,,,,,,,,,,2019Q1
"Dallas-Fort Worth, TX-OK",32,inEilDBtel,,,,,,,,,,,
