csa_name_mod2,shift_lead_time_fs,head_count_requested_fs,head_count_worked_fs,fill_rate_fs,total_shifts_f30d,worked_shifts_f30d,head_count_f30d,fill_rate_f30d,avg_days_between_shifts_f30d,total_head_count_minus_fs,total_head_count_minus_f30d,year_quarter_comp_start
All Other Markets Combined,3,2,1,0.5000,1,1,2,0.5000,,0,0,2022Q3
All Other Markets Combined,3,1,1,1.0000,10,8,40,0.2000,1.8889,46,7,2023Q2
All Other Markets Combined,1,2,2,1.0000,1,2,4,0.5000,,0,-2,2022Q3
All Other Markets Combined,9,7,5,0.7143,1,5,35,0.1429,,2,-26,2022Q4
All Other Markets Combined,2,3,3,1.0000,2,6,18,0.3333,,6,-9,2022Q4
All Other Markets Combined,1,1,1,1.0000,2,1,2,0.5000,,1,0,2022Q3
All Other Markets Combined,2,3,2,0.6667,1,2,6,0.3333,,0,-3,2022Q3
All Other Markets Combined,11,2,3,1.5000,2,4,10,0.4000,,2,-6,2022Q4
All Other Markets Combined,7,2,2,1.0000,2,2,8,0.2500,2.0000,7,1,2023Q1
All Other Markets Combined,8,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
All Other Markets Combined,16,2,1,0.5000,1,1,2,0.5000,,0,0,2022Q4
All Other Markets Combined,4,1,1,1.0000,11,2,11,0.1818,1.5000,12,2,2023Q2
All Other Markets Combined,0,1,1,1.0000,12,2,12,0.1667,,11,0,2022Q3
All Other Markets Combined,16,2,1,0.5000,89,34,164,0.2073,,947,785,2022Q3
All Other Markets Combined,2,1,1,1.0000,2,2,2,1.0000,,3,2,2022Q3
All Other Markets Combined,6,1,1,1.0000,19,3,19,0.1579,1.6111,61,43,2023Q1
All Other Markets Combined,82,1,1,1.0000,9,2,9,0.2222,,10,2,2022Q3
All Other Markets Combined,10,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
All Other Markets Combined,1,1,2,2.0000,1,2,2,1.0000,,0,-1,2022Q3
All Other Markets Combined,1,3,1,0.3333,3,3,11,0.2727,,143,135,2022Q3
All Other Markets Combined,1,3,3,1.0000,1,3,9,0.3333,,0,-6,2022Q3
All Other Markets Combined,7,2,1,0.5000,17,4,46,0.0870,,120,76,2022Q3
All Other Markets Combined,1,1,1,1.0000,6,6,12,0.5000,3.8000,19,8,2023Q1
All Other Markets Combined,6,2,3,1.5000,22,18,76,0.2368,,267,193,2022Q3
All Other Markets Combined,1,2,3,1.5000,1,3,6,0.5000,,0,-4,2022Q3
All Other Markets Combined,4,1,1,1.0000,10,7,18,0.3889,,19,2,2022Q3
All Other Markets Combined,0,1,1,1.0000,23,2,23,0.0870,,22,0,2022Q3
All Other Markets Combined,1,2,1,0.5000,2,2,4,0.5000,,2,0,2022Q3
All Other Markets Combined,6,4,3,0.7500,6,8,73,0.1096,,17,-52,2022Q4
All Other Markets Combined,3,1,1,1.0000,1,1,1,1.0000,,926,926,2022Q3
All Other Markets Combined,11,1,1,1.0000,1,1,1,1.0000,,1,1,2022Q3
All Other Markets Combined,2,2,2,1.0000,1,2,4,0.5000,,29,27,2022Q3
All Other Markets Combined,4,2,1,0.5000,2,1,4,0.2500,,2,0,2022Q3
All Other Markets Combined,2,1,1,1.0000,2,2,2,1.0000,,1,0,2022Q3
All Other Markets Combined,2,2,2,1.0000,4,4,11,0.3636,,25,16,2022Q3
All Other Markets Combined,15,1,1,1.0000,1,1,1,1.0000,,2,2,2022Q3
All Other Markets Combined,6,1,1,1.0000,18,8,58,0.1379,,394,337,2022Q3
All Other Markets Combined,2,3,3,1.0000,23,11,54,0.2037,,55,4,2022Q3
All Other Markets Combined,3,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q3
All Other Markets Combined,2,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q3
All Other Markets Combined,4,2,3,1.5000,15,17,56,0.3036,,99,45,2022Q3
All Other Markets Combined,1,4,1,0.2500,11,15,45,0.3333,,17,-24,2022Q3
All Other Markets Combined,21,2,1,0.5000,3,3,6,0.5000,,119,115,2022Q3
All Other Markets Combined,41,15,4,0.2667,1,4,60,0.0667,,20,-25,2022Q3
All Other Markets Combined,0,2,1,0.5000,4,3,10,0.3000,,9,1,2022Q3
All Other Markets Combined,19,2,1,0.5000,2,1,4,0.2500,,2,0,2022Q3
All Other Markets Combined,6,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q3
All Other Markets Combined,1,1,1,1.0000,1,1,1,1.0000,,4,4,2022Q3
All Other Markets Combined,3,1,1,1.0000,28,9,31,0.2903,,147,117,2022Q3
All Other Markets Combined,8,1,1,1.0000,5,1,5,0.2000,,4,0,2022Q3
All Other Markets Combined,12,4,1,0.2500,1,1,4,0.2500,,0,0,2022Q3
All Other Markets Combined,48,50,25,0.5000,5,62,4712,0.0132,,350,-4312,2022Q3
All Other Markets Combined,4,1,1,1.0000,19,9,70,0.1286,,232,163,2022Q3
All Other Markets Combined,1,1,2,2.0000,1,2,2,1.0000,,9,8,2022Q3
All Other Markets Combined,7,2,1,0.5000,2,1,3,0.3333,,3,2,2022Q3
All Other Markets Combined,7,2,2,1.0000,24,11,55,0.2000,,60,7,2022Q3
All Other Markets Combined,1,1,1,1.0000,2,2,2,1.0000,,3,2,2022Q3
All Other Markets Combined,1,2,2,1.0000,4,2,7,0.2857,,6,1,2022Q3
All Other Markets Combined,3,1,1,1.0000,10,7,20,0.3500,,22,3,2022Q3
All Other Markets Combined,10,1,1,1.0000,1,1,1,1.0000,,8,8,2022Q3
All Other Markets Combined,16,1,1,1.0000,1,1,1,1.0000,,72,72,2022Q3
All Other Markets Combined,102,4,2,0.5000,8,15,180,0.0833,,48,-128,2022Q4
All Other Markets Combined,11,3,3,1.0000,1,3,9,0.3333,,0,-6,2022Q4
All Other Markets Combined,3,2,2,1.0000,3,4,14,0.2857,,4,-8,2022Q3
All Other Markets Combined,20,1,1,1.0000,26,13,27,0.4815,,46,20,2022Q3
All Other Markets Combined,5,4,2,0.5000,11,9,70,0.1286,,110,44,2022Q3
