csa_name_mod2,company_id,company_name,shifts_worked,adjusted_head_count,fill_rate,industry_name,avg_head_count,avg_hourly_wage,avg_shift_lead,2023_rev,avg_days_between_shifts,total_head_count,year_quarter_comp_start
"Salt Lake City-Provo-Orem, UT",3,Warehouse Inc.,,,,,,,,,,,2019Q1
"Salt Lake City-Provo-Orem, UT",4,Bacon Inc,,,,,,,,,,,2018Q4
All Other Markets Combined,4,Bacon Inc,,,,,,,,,,,2018Q4
"Salt Lake City-Provo-Orem, UT",9,Bacon Inc,1,1,1.0000,Entertainment,1.0000,20,7.1333,48,,2,2019Q1
All Other Markets Combined,9,Bacon Inc,1,1,1.0000,Entertainment,1.0000,20,7.1333,48,,2,2019Q1
"Dallas-Fort Worth, TX-OK",9,Bacon Inc,1,1,1.0000,Entertainment,1.0000,20,7.1333,48,,2,2019Q1
"Las Vegas-Henderson, NV",9,Bacon Inc,1,1,1.0000,Entertainment,1.0000,20,7.1333,48,,2,2019Q1
"Salt Lake City-Provo-Orem, UT",11,Utah Valley Convention Center,941,1057,0.8903,Food Services,8.9091,15.03305785123967,4.8843,24358.83,2.3276,1078,2018Q4
"Salt Lake City-Provo-Orem, UT",12,Beehive Catering,,,,,,,,,,,2019Q4
"Salt Lake City-Provo-Orem, UT",13,Yummy's BBQ and Sushi,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",16,Culinary Crafts,,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",19,The Spoon at NuSkin,7,7,1.0000,Food Services,1.1667,17,5.5714,213.45,36.6000,7,2020Q1
"Dallas-Fort Worth, TX-OK",20,ATI (Automotive Tensioners Inc.),,,,,,,,,,,2018Q4
"Dallas-Fort Worth, TX-OK",22,Bacon,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",22,Bacon,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",24,Equinox Nutraceutical,,,,,,,,,,,2020Q2
"Dallas-Fort Worth, TX-OK",28,Heads or Tails Crawfish,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",29,Utah Valley Convention Center - Kitchen,207,222,0.9324,Food Services,2.2604,13.041666666666666,2.5841,5431.56,2.9574,217,2019Q3
"Dallas-Fort Worth, TX-OK",30,Tastefully Yours Catering,,,,,,,,,,,2019Q1
"Dallas-Fort Worth, TX-OK",31,One Fine Day,,,,,,,,,,,2019Q1
"Dallas-Fort Worth, TX-OK",32,intelliBED,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",33,The Biz Games,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",34,AlphaGraphics Salt Lake,,,,,,,,,,,2019Q1
"Salt Lake City-Provo-Orem, UT",35,North Beacon Co.,,,,,,,,,,,2019Q1
"Salt Lake City-Provo-Orem, UT",39,FirstMile - UT,1443,1557,0.9268,Warehouse,3.1538,14.431174089068826,11.4963,42621.03,0.5386,1558,2019Q2
"Salt Lake City-Provo-Orem, UT",42,IFS360,,,,,,,,,,,2019Q2
"Salt Lake City-Provo-Orem, UT",46,Moss Transit,73,73,1.0000,Hospitality,1.0000,15.216216216216216,2.8701,2776.8,4.2083,74,2019Q3
"Salt Lake City-Provo-Orem, UT",55,Brown Brothers Catering,43,43,1.0000,Food Services,3.2000,16,2.6364,1947.69,18.0000,32,2019Q2
"Salt Lake City-Provo-Orem, UT",58,SSA Group @ Hogle Zoo,144,151,0.9536,Events,2.5882,16,4.7586,3260.52,3.0000,132,2019Q2
"Salt Lake City-Provo-Orem, UT",60,Waffle Love,,,,,,,,,,,2019Q2
"Salt Lake City-Provo-Orem, UT",64,SSA @ Great Plains zoo,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",66,Coolgreens Southlake,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",70,Ardu Recovery Center,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",79,DRH Holdings,16,18,0.8889,Hospitality,2.0000,17.444444444444443,4.6000,632.42,1.7500,18,2019Q2
"Salt Lake City-Provo-Orem, UT",80,Globalnick,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",81,Advanced Commercial Electronic Systems,4,4,1.0000,Construction,1.0000,15,5.2727,124.13,2.3333,4,2019Q4
"Salt Lake City-Provo-Orem, UT",98,Bonneville Asphalt and Repair,,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",102,Forever Landscapes,,,,,,,,,,,2019Q2
"Salt Lake City-Provo-Orem, UT",105,UHIN,,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",116,In The Event,,,,,,,,,,,2019Q2
"Salt Lake City-Provo-Orem, UT",120,"Corporate Kids Event, Inc",,,,,,,,,,,2019Q3
"Dallas-Fort Worth, TX-OK",120,"Corporate Kids Event, Inc",,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",123,Red Hanger Cleaners,6,6,1.0000,Warehouse,1.0000,10,14.8750,108.96,11.2000,8,2019Q2
"Salt Lake City-Provo-Orem, UT",125,Blue Mango Pressure Washing Services,,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",130,Colton Inc,,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",140,Harrison Auto Detailing,,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",141,Maid For You Utah,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",143,Taterville LLC,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",151,Happy Valley Exteriors,,,,,,,,,,,
All Other Markets Combined,156,Galaxy Banquets,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",157,DoTERRA,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",157,DoTERRA,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",158,FirstMile - CSR (UT) Not in Use,,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",170,Landmark Catering,,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",172,Fusion Imaging,16,16,1.0000,Manufacturing,1.0000,16.5,0.4118,805.78,1.7333,16,2019Q3
"Salt Lake City-Provo-Orem, UT",174,"Specialized Bicycle Components, Inc.",,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",177,Freshly Picked,,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",179,Brooke Davenport Events,,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",184,Cuisine Unlimited,24,24,1.0000,Food Services,5.6667,17,9.0000,1080.36,71.5000,17,2019Q3
"Salt Lake City-Provo-Orem, UT",185,LUX Hospitality Group,,,,,,,,,,,2019Q3
"Salt Lake City-Provo-Orem, UT",189,The Canterbury Place,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",191,Durham Brands (GIMME Beauty),18,21,0.8571,Warehouse,2.5000,16.75,3.7500,734.97,13.8571,20,2019Q4
"Salt Lake City-Provo-Orem, UT",193,Lux Events,45,46,0.9783,Food Services,3.0000,16,4.5294,1752.62,7.9231,42,2019Q3
All Other Markets Combined,193,Lux Events,45,46,0.9783,Food Services,3.0000,16,4.5294,1752.62,7.9231,42,2019Q3
"Salt Lake City-Provo-Orem, UT",194,Eclectic Hive,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",195,"Capital Cleaning SLC, Inc.",,,,,,,,,,,2019Q3
All Other Markets Combined,200,Sparkling Homes Cleaning Service,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",204,Sonic/ CoreLife Eatery,,,,,,,,,,,2019Q4
All Other Markets Combined,211,Have Party Will Travel Catering,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",211,Have Party Will Travel Catering,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",212,Tacoma Lamp Repair,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",213,Media Lavie,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",216,one0eight Bistro,,,,,,,,,,,2019Q4
"Salt Lake City-Provo-Orem, UT",217,Deseret Book,157,175,0.8971,Retail,7.1111,16.59259259259259,85.3056,6238.23,14.9048,192,2019Q4
"Salt Lake City-Provo-Orem, UT",219,Koality Home Kleaning,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",222,Vivint Smart Home Arena,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",224,Bucked Up,54,60,0.9000,Warehouse,15.0000,12,1.5000,1359.36,6.6667,60,2019Q4
"Salt Lake City-Provo-Orem, UT",228,Tavolo Rental,4,4,1.0000,Events,2.0000,35,1.0000,277.34,,2,2022Q2
"Salt Lake City-Provo-Orem, UT",231,The Shrub Care Co LLC,28,29,0.9655,Construction,1.1600,14.7,2.7879,946.53,10.2609,29,2019Q4
All Other Markets Combined,231,The Shrub Care Co LLC,28,29,0.9655,Construction,1.1600,14.7,2.7879,946.53,10.2609,29,2019Q4
All Other Markets Combined,234,ASCII GROUP LLC,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",237,Utah Food Services,,,,,,,,,,,2019Q4
"Salt Lake City-Provo-Orem, UT",238,TKS Co-Pack Manufacturing,,,,,,,,,,,2019Q4
"Salt Lake City-Provo-Orem, UT",244,First United Door Tech,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",246,Anchor3PL,,,,,,,,,,,2019Q4
"Salt Lake City-Provo-Orem, UT",252,University of Utah Concessions,14,20,0.7000,Food Services,20.0000,20,0.0000,533.4,,20,2019Q4
"Salt Lake City-Provo-Orem, UT",253,ViewArea,1,1,1.0000,Manufacturing,1.0000,17,0.5000,50.16,,1,2019Q4
"Salt Lake City-Provo-Orem, UT",254,Logo Concepts,,,,,,,,,,,2019Q4
"Salt Lake City-Provo-Orem, UT",256,Drift,452,495,0.9131,Warehouse,1.5090,13.225903614457831,10.7730,13677.57,0.8339,501,2020Q4
"Salt Lake City-Provo-Orem, UT",258,Goodman Chiropractic,,,,,,,,,,,2019Q4
"Salt Lake City-Provo-Orem, UT",260,"NU Packaging, Inc.",,,,,,,,,,,2021Q2
"Salt Lake City-Provo-Orem, UT",264,"Time for Families, Davis County",270,270,1.0000,Hospitality,1.0036,15,8.8644,8017.29,0.8479,282,2019Q4
"Salt Lake City-Provo-Orem, UT",265,Miller Catering - SLCC,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",267,Savage Premier Builders,,,,,,,,,,,2019Q4
All Other Markets Combined,269,Ebowden Consulting,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",275,KT TAPE,,,,,,,,,,,2019Q4
"Salt Lake City-Provo-Orem, UT",277,"Primary Park and Play, LLC",54,55,0.9818,Construction,2.2000,22.2,3.3333,2213.61,10.7083,55,2020Q2
"Salt Lake City-Provo-Orem, UT",278,Sheraton Salt Lake City Hotel,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",286,Diamond Concessions,156,199,0.7839,Food Services,8.2917,14.041666666666666,1.4800,3516.69,11.8261,199,2020Q1
"Salt Lake City-Provo-Orem, UT",287,SOS Disaster Services Inc.,3,3,1.0000,Construction,3.0000,17,4.5000,171.31,,3,2020Q1
"Dallas-Fort Worth, TX-OK",289,Saintsbury Tavern,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",290,Downeast Corporate,,,,,,,,,,,2020Q1
"Dallas-Fort Worth, TX-OK",296,Mint Housekeeping,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",297,DownEast Outfitters,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",298,Utah Valley Convention Center - Custodial,161,166,0.9699,Events,1.9740,13.571428571428571,6.0941,3976.54,3.1974,152,2020Q1
All Other Markets Combined,301,Eco cleaning company,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",304,Momentum Shipping Co,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",306,September Group LLC,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",307,Wallsburg Farms,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",313,Barlow Window Bros LLC,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",315,Mapleton Floral & Gifts,,,,,,,,,,,2020Q1
"Dallas-Fort Worth, TX-OK",316,House of Blues Dallas/ Live Nation,,,,,,,,,,,2020Q1
"Dallas-Fort Worth, TX-OK",321,BD Turner and Company,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",322,"Kala Packaging, LLC",,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",324,Elite Ops,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",327,Downeast Millcreek,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",330,Freezing Point LLC,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",335,ADP Lemco,,,,,,,,,,,2020Q2
